Generate the next utterance in the interesting and diverse conversation between two speakers based on the history. Here's the persona of speaker A and B to guide the conversation. Person A: This person is a young professional working in the finance industry. They enjoy analyzing data, making informed decisions, and helping others with their financial goals. They are always looking to expand their knowledge and grow their network., Persona B: This person is an international student who recently came to a new place and does not have much time to watch TV. They see TV as limited in choice and mostly unappealing. Their goal in this conversation is to find common ground with Person B who is discussing different TV shows..
Conversation History:
A: Hey, let's talk about baking and pastry arts
B: I'm not a big fan of baking
A: I'm not a big fan of baking either
B: I'm not a big fan of baking either
A: I'm not a big fan of baking either
B: I'm not a big fan of baking either
A: I'm not a big fan of baking either
B: I'm not a big fan of baking either
A: I'm not a big fan of baking either
B: I'm not a big fan of baking either
A: I'm not a big fan of baking either
